time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1173045600,1.2164,1.2243,1.2109,1.2206,1.2109491339147322e+308,NaN,NaN,1.2109491339147322e+308,NaN,NaN,1.2109491339147322e+308,NaN,NaN,1.2109491339147322e+308,NaN,NaN,1.2109491339147322e+308,NaN,NaN,1.2109491339147322e+308,NaN,NaN
1173132000,1.2206,1.2255,1.2193,1.2231,NaN,7.350919887494066e+307,NaN,NaN,NaN,NaN,NaN,7.350919887494066e+307,NaN,NaN,NaN,NaN,NaN,7.350919887494066e+307,NaN,NaN,NaN,NaN
1173218400,1.2231,1.2249,1.2165,1.2172,-7.470667865747905e+307,-5.977521400416077e+307,NaN,NaN,NaN,NaN,-7.470667865747905e+307,-5.977521400416077e+307,NaN,NaN,NaN,NaN,-7.470667865747905e+307,-5.977521400416077e+307,NaN,NaN,NaN,NaN
1173304800,1.2172,1.2295,1.2158,1.2275,6.074896438319381e+307,9.08137138091657e+307,NaN,NaN,NaN,NaN,6.074896438319381e+307,9.08137138091657e+307,NaN,NaN,NaN,NaN,6.074896438319381e+307,9.08137138091657e+307,NaN,NaN,NaN,NaN
1173391200,1.2275,1.2355,1.2257,1.234,-9.229308765527052e+307,-1.0816758710368129e+308,-9.229308765527052e+307,NaN,NaN,NaN,-9.229308765527052e+307,-1.0816758710368129e+308,-9.229308765527052e+307,NaN,NaN,NaN,-9.229308765527052e+307,-1.0816758710368129e+308,-9.229308765527052e+307,NaN,NaN,NaN
1173646800,1.234,1.2351,1.2235,1.2245,1.0992965907106843e+308,1.4010043970155084e+308,NaN,1.0992965907106843e+308,NaN,NaN,1.0992965907106843e+308,1.4010043970155084e+308,NaN,1.0992965907106843e+308,NaN,NaN,1.0992965907106843e+308,1.4010043970155084e+308,NaN,1.0992965907106843e+308,NaN,NaN
1173733200,1.2245,1.226,1.2167,1.2176,-1.4238270432468687e+308,NaN,-1.4238270432468687e+308,NaN,NaN,NaN,-1.4238270432468687e+308,NaN,-1.4238270432468687e+308,NaN,NaN,NaN,-1.4238270432468687e+308,NaN,-1.4238270432468687e+308,NaN,NaN,NaN
1173819600,1.2176,1.2199,1.2103,1.2164,NaN,-9.559020415827232e+307,NaN,NaN,NaN,NaN,NaN,-9.559020415827232e+307,NaN,NaN,NaN,NaN,NaN,-9.559020415827232e+307,NaN,NaN,NaN,NaN
1173906000,1.2164,1.2216,1.2134,1.2173,9.714738800247376e+307,7.773074659653279e+307,NaN,NaN,NaN,NaN,9.714738800247376e+307,7.773074659653279e+307,NaN,NaN,NaN,NaN,9.714738800247376e+307,7.773074659653279e+307,NaN,NaN,NaN,NaN
1173992400,1.2173,1.2174,1.203,1.2078,-7.899699624903302e+307,-1.1809272276463875e+308,NaN,NaN,NaN,NaN,-7.899699624903302e+307,-1.1809272276463875e+308,NaN,NaN,NaN,NaN,-7.899699624903302e+307,-1.1809272276463875e+308,NaN,NaN,NaN,NaN
