time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot
1262556000,1.03586,1.0397,1.03388,1.03915,NaN,NaN,NaN,NaN,NaN,NaN
1262570400,1.03915,1.0392,1.03523,1.03605,NaN,NaN,NaN,NaN,NaN,NaN
1262584800,1.03605,1.04206,1.03326,1.03346,NaN,NaN,NaN,NaN,NaN,NaN
1262599200,1.03346,1.0352,1.02988,1.03099,NaN,NaN,NaN,NaN,NaN,NaN
1262613600,1.03099,1.03165,1.02631,1.02918,NaN,NaN,NaN,NaN,NaN,NaN
1262628000,1.02918,1.03041,1.02833,1.02956,NaN,NaN,NaN,NaN,NaN,NaN
1262642400,1.02956,1.03027,1.02752,1.02831,NaN,NaN,NaN,NaN,NaN,NaN
1262656800,1.02831,1.0297,1.02567,1.02657,NaN,NaN,NaN,NaN,NaN,NaN
1262671200,1.02657,1.03145,1.02525,1.02836,NaN,NaN,NaN,NaN,NaN,NaN
1262685600,1.02836,1.03165,1.02781,1.03014,NaN,NaN,NaN,NaN,NaN,NaN
1262700000,1.03014,1.03356,1.03014,1.03225,NaN,NaN,NaN,NaN,NaN,NaN
1262714400,1.03225,1.03606,1.03215,1.03362,NaN,NaN,NaN,NaN,NaN,NaN
1262728800,1.03362,1.0355,1.03275,1.03275,NaN,NaN,NaN,NaN,NaN,NaN
1262743200,1.03275,1.03552,1.03245,1.03433,NaN,NaN,NaN,NaN,NaN,NaN
1262757600,1.03433,1.03793,1.03251,1.03282,NaN,NaN,NaN,NaN,NaN,NaN
1262772000,1.03282,1.03453,1.031,1.03186,NaN,NaN,NaN,NaN,NaN,NaN
1262786400,1.03186,1.03356,1.02703,1.02837,NaN,NaN,NaN,NaN,NaN,NaN
1262800800,1.02837,1.03018,1.0249,1.02744,NaN,NaN,NaN,NaN,NaN,NaN
1262815200,1.02744,1.02842,1.02424,1.02626,NaN,NaN,NaN,NaN,NaN,NaN
1262829600,1.02626,1.0291,1.02626,1.0285,NaN,NaN,NaN,NaN,NaN,NaN
1262844000,1.0285,1.03292,1.02795,1.03215,NaN,1.029036623966942,NaN,NaN,NaN,NaN
1262858400,1.03215,1.03715,1.03192,1.03489,NaN,1.0308791709325067,NaN,NaN,NaN,NaN
1262872800,1.03489,1.0358,1.03181,1.03302,NaN,1.0317894388109816,NaN,NaN,NaN,NaN
1262887200,1.03302,1.03447,1.03264,1.0339,NaN,1.0326920111214664,NaN,NaN,NaN,NaN
1262901600,1.0339,1.03535,1.0333,1.03438,NaN,1.0333946417396762,NaN,NaN,NaN,NaN
1262916000,1.03438,1.03619,1.0337,1.0352,1.0320429490557752,1.0344993054962421,NaN,NaN,NaN,NaN
1262930400,1.0352,1.03537,1.03285,1.03447,1.0333111018840142,1.0351638917103703,NaN,NaN,NaN,NaN
1262944800,1.03447,1.03847,1.0261,1.02726,1.0336300694652767,1.0333712474840862,1.0336300694652767,NaN,NaN,NaN
1262959200,1.02726,1.03482,1.02481,1.02621,1.0335964837195466,1.0309823706391468,NaN,NaN,NaN,NaN
1262973600,1.02621,1.02641,1.02161,1.02335,1.0322873738493799,1.027796572183889,NaN,NaN,NaN,NaN
1263160800,1.02335,1.02408,1.0178,1.01852,1.0301126068219584,1.0239280601263476,NaN,NaN,NaN,NaN
1263175200,1.01852,1.01852,1.01326,1.01575,1.0267853856367846,1.0196277352435539,NaN,NaN,NaN,NaN
1263189600,1.01575,1.02046,1.01568,1.01648,1.0236230501600634,1.0164422614940967,NaN,NaN,NaN,NaN
1263204000,1.01648,1.01773,1.015,1.01585,1.0204081944574899,1.0142791337627834,NaN,NaN,NaN,NaN
1263218400,1.01585,1.01838,1.01303,1.01668,1.0175872102474925,1.0132871431420192,NaN,NaN,NaN,NaN
1263232800,1.01668,1.01686,1.01425,1.01628,1.0152096692408428,1.0126569793420288,NaN,NaN,NaN,NaN
1263247200,1.01628,1.01806,1.01532,1.01705,1.0135624452207403,1.0127824612959113,NaN,NaN,NaN,NaN
1263261600,1.01705,1.02085,1.01694,1.01785,1.0127646759845175,1.0134867836253012,NaN,1.0127646759845175,NaN,NaN
1263276000,1.01785,1.02018,1.01606,1.01898,1.0124875327930747,1.0148859514602453,NaN,NaN,NaN,NaN
1263290400,1.01898,1.02018,1.01628,1.01908,1.012742813350811,1.016269229085486,NaN,NaN,NaN,NaN
1263304800,1.01908,1.01915,1.01446,1.01715,1.0131454957255215,1.0168816130093745,NaN,NaN,NaN,NaN
1263319200,1.01715,1.01902,1.017,1.01853,1.013892681455942,1.0176469355083602,NaN,NaN,NaN,NaN
1263333600,1.01853,1.02065,1.01772,1.0191,1.0148880516463654,1.0183998222063249,NaN,NaN,NaN,NaN
1263348000,1.0191,1.01973,1.01802,1.01839,1.0158721640200212,1.0188640174877055,NaN,NaN,NaN,NaN
1263362400,1.01839,1.02192,1.0163,1.01919,1.016855493853724,1.0192337600182033,NaN,NaN,NaN,NaN
1263376800,1.01919,1.02012,1.01372,1.0149,1.0173851724010068,1.0180600131677318,NaN,NaN,NaN,NaN
1263391200,1.0149,1.02132,1.0149,1.01836,1.0178544529369913,1.0179780456455776,NaN,NaN,NaN,NaN
1263405600,1.01836,1.02002,1.01773,1.01797,1.0182218536288508,1.0177349356742884,1.0182218536288508,NaN,NaN,NaN
