time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot
1262556000,150.455,150.455,149.456,149.602,NaN,NaN,NaN,NaN,NaN,NaN
1262570400,149.602,149.691,149.072,149.472,NaN,NaN,NaN,NaN,NaN,NaN
1262584800,149.472,150.456,149.295,150.382,NaN,NaN,NaN,NaN,NaN,NaN
1262599200,150.382,150.716,149.671,149.731,NaN,NaN,NaN,NaN,NaN,NaN
1262613600,149.731,149.9,148.65,149.474,NaN,NaN,NaN,NaN,NaN,NaN
1262628000,149.474,149.493,148.705,148.71,NaN,NaN,NaN,NaN,NaN,NaN
1262642400,148.71,149.153,148.192,148.363,NaN,NaN,NaN,NaN,NaN,NaN
1262656800,148.363,148.506,147.37,147.912,NaN,NaN,NaN,NaN,NaN,NaN
1262671200,147.912,148.427,147.345,147.478,NaN,NaN,NaN,NaN,NaN,NaN
1262685600,147.478,147.566,146.826,147.159,NaN,NaN,NaN,NaN,NaN,NaN
1262700000,147.159,147.159,146.277,146.526,NaN,NaN,NaN,NaN,NaN,NaN
1262714400,146.526,146.817,146.134,146.59,NaN,NaN,NaN,NaN,NaN,NaN
1262728800,146.59,147.184,145.994,146.776,NaN,NaN,NaN,NaN,NaN,NaN
1262743200,146.776,147.206,146.72,146.962,NaN,NaN,NaN,NaN,NaN,NaN
1262757600,146.962,148.123,146.822,147.943,NaN,NaN,NaN,NaN,NaN,NaN
1262772000,147.943,148.036,147.046,147.203,NaN,NaN,NaN,NaN,NaN,NaN
1262786400,147.203,148.463,147.155,147.943,NaN,NaN,NaN,NaN,NaN,NaN
1262800800,147.943,148.116,147.732,147.85,NaN,NaN,NaN,NaN,NaN,NaN
1262815200,147.85,148.289,147.744,147.885,NaN,NaN,NaN,NaN,NaN,NaN
1262829600,147.885,147.892,147.184,147.282,NaN,NaN,NaN,NaN,NaN,NaN
1262844000,147.282,148.231,147.063,147.99,NaN,147.681766620753,NaN,NaN,NaN,NaN
1262858400,147.99,148.626,147.793,148.192,NaN,148.03073077431822,NaN,NaN,NaN,NaN
1262872800,148.192,148.691,148.172,148.509,NaN,148.32150597057387,NaN,NaN,NaN,NaN
1262887200,148.509,148.765,148.298,148.725,NaN,148.59228699492164,NaN,NaN,NaN,NaN
1262901600,148.725,149.365,148.539,148.675,NaN,148.74785648840668,NaN,NaN,NaN,NaN
1262916000,148.675,148.812,148.342,148.707,148.40021949934126,148.838962915147,NaN,NaN,NaN,NaN
1262930400,148.707,149.304,148.652,149.299,148.8012029881099,149.07447926127946,NaN,NaN,NaN,NaN
1262944800,149.299,149.473,148.094,148.633,148.91493408957774,149.0730967749055,NaN,NaN,NaN,NaN
1262959200,148.633,149.046,148.054,148.198,149.0063841270964,148.90587719425778,149.0063841270964,NaN,NaN,NaN
1262973600,148.198,148.65,148.099,148.432,148.99069125995302,148.7394799313983,NaN,NaN,NaN,NaN
1263160800,148.432,148.807,148.265,148.34,148.97459234828537,148.61999110339818,NaN,NaN,NaN,NaN
1263175200,148.34,148.599,148.34,148.387,148.90769194989858,148.54588094822046,NaN,NaN,NaN,NaN
1263189600,148.387,149.328,148.242,149.303,148.87746529914432,148.7446375664706,NaN,NaN,NaN,NaN
1263204000,149.303,149.597,149.226,149.344,148.94626001158665,148.97118950784608,NaN,148.94626001158665,NaN,NaN
1263218400,149.344,149.452,148.218,148.358,148.95531322582931,148.87510923207807,148.95531322582931,NaN,NaN,NaN
1263232800,148.358,148.479,148.067,148.355,148.87985639398732,148.6777024786449,NaN,NaN,NaN,NaN
1263247200,148.355,148.544,147.676,147.697,148.7535045304574,148.28362764344482,NaN,NaN,NaN,NaN
1263261600,147.697,148.529,147.662,148.394,148.59236231473653,148.22825611710334,NaN,NaN,NaN,NaN
1263276000,148.394,148.641,147.625,148.145,148.43403478190228,148.1450584768521,NaN,NaN,NaN,NaN
1263290400,148.145,148.307,147.289,147.309,148.2528374301555,147.88489446122057,NaN,NaN,NaN,NaN
1263304800,147.309,147.494,146.657,146.826,147.97903547917912,147.41394411566898,NaN,NaN,NaN,NaN
1263319200,146.826,147.264,146.796,147.01,147.68628741642303,147.06095533985,NaN,NaN,NaN,NaN
1263333600,147.01,147.675,146.708,147.107,147.41668895537322,146.8729897778447,NaN,NaN,NaN,NaN
1263348000,147.107,147.568,146.933,147.421,147.18583380162988,146.88528172285538,NaN,NaN,NaN,NaN
1263362400,147.421,148.748,147.225,148.48,147.12525446825234,147.27513899970475,NaN,147.12525446825234,NaN,NaN
1263376800,148.48,148.731,148.286,148.559,147.23839001382805,147.72271393043138,NaN,NaN,NaN,NaN
1263391200,148.559,149.039,148.227,148.686,147.4565681924391,148.15761603308874,NaN,NaN,NaN,NaN
1263405600,148.686,149.009,148.658,148.73,147.75196576963796,148.45663147973485,NaN,NaN,NaN,NaN
1263420000,148.73,149.183,148.534,148.958,148.06403414892387,148.7531124063646,NaN,NaN,NaN,NaN
1263434400,148.958,149.544,148.897,149.494,148.41149387721646,149.16226144590794,NaN,NaN,NaN,NaN
1263448800,149.494,150.002,149.133,149.589,148.7921960863351,149.54623982792404,NaN,NaN,NaN,NaN
1263463200,149.589,149.76,148.551,148.773,149.09366199783042,149.57407718593944,NaN,NaN,NaN,NaN
1263477600,148.773,149.035,148.457,148.62,149.2765188777034,149.41087191683275,NaN,NaN,NaN,NaN
1263492000,148.62,149.116,148.366,148.95,149.3713756902738,149.288914509479,149.3713756902738,NaN,NaN,NaN
1263506400,148.95,149.226,148.081,148.367,149.367305753286,149.0386065270339,NaN,NaN,NaN,NaN
1263520800,148.367,149.11,148.255,148.932,149.30082132856288,148.97188463053627,NaN,NaN,NaN,NaN
1263535200,148.932,148.953,147.88,148.021,149.16108801988852,148.6183722774355,NaN,NaN,NaN,NaN
1263549600,148.021,148.548,147.419,148.381,148.9366678358633,148.4637466784586,NaN,NaN,NaN,NaN
1263564000,148.381,148.633,147.167,147.51,148.67659999658972,148.02591611877386,NaN,NaN,NaN,NaN
1263578400,147.51,147.944,147.449,147.633,148.3811280620976,147.75561998311647,NaN,NaN,NaN,NaN
1263765600,147.633,148.228,147.516,147.693,148.12486733953864,147.52665935080574,NaN,NaN,NaN,NaN
1263780000,147.693,148.583,147.642,148.444,147.94623018127172,147.68923366633734,NaN,NaN,NaN,NaN
1263794400,148.444,148.852,147.805,148.594,147.86914879420166,147.941280751289,NaN,147.86914879420166,NaN,NaN
1263808800,148.594,148.904,147.844,147.909,147.86270741683464,147.97813393725662,NaN,NaN,NaN,NaN
1263823200,147.909,148.401,147.803,148.124,147.86267695227878,147.99047828634266,NaN,NaN,NaN,NaN
