time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1309208400,129.326,129.95299999999997,128.64999999999998,129.765,-1.2053963595722011e+308,-6.624692237299849e+307,NaN,-1.2053963595722011e+308,NaN,NaN,-1.2053963595722011e+308,-6.624692237299849e+307,NaN,-1.2053963595722011e+308,NaN,NaN,-1.2053963595722011e+308,-6.624692237299849e+307,NaN,-1.2053963595722011e+308,NaN,NaN
1309294800,129.765,130.081,129.094,129.73899999999998,NaN,9.941927215114154e+307,NaN,NaN,NaN,NaN,NaN,9.941927215114154e+307,NaN,NaN,NaN,NaN,NaN,9.941927215114154e+307,NaN,NaN,NaN,NaN
1309381200,129.73899999999998,129.873,128.422,129.32299999999998,8.509671362187417e+307,-1.149849137672818e+308,NaN,NaN,NaN,NaN,8.509671362187417e+307,-1.149849137672818e+308,NaN,NaN,NaN,NaN,8.509671362187417e+307,-1.149849137672818e+308,NaN,NaN,NaN,NaN
1309467600,129.32299999999998,130.07199999999997,129.04999999999998,129.82,-6.654987937213096e+307,1.4580253982685785e+308,NaN,-6.654987937213096e+307,NaN,NaN,-6.654987937213096e+307,1.4580253982685785e+308,NaN,-6.654987937213096e+307,NaN,NaN,-6.654987937213096e+307,1.4580253982685785e+308,NaN,-6.654987937213096e+307,NaN,NaN
1309726800,129.82,130.159,129.66199999999998,129.88,9.987393122461904e+307,NaN,9.987393122461904e+307,NaN,NaN,NaN,9.987393122461904e+307,NaN,9.987393122461904e+307,NaN,NaN,NaN,9.987393122461904e+307,NaN,9.987393122461904e+307,NaN,NaN,NaN
1309813200,129.88,130.84699999999998,129.75,130.18499999999997,-1.1551075682794958e+308,-9.670382209164037e+307,NaN,-1.1551075682794958e+308,NaN,NaN,-1.1551075682794958e+308,-9.670382209164037e+307,NaN,-1.1551075682794958e+308,NaN,NaN,-1.1551075682794958e+308,-9.670382209164037e+307,NaN,-1.1551075682794958e+308,NaN,NaN
1309899600,130.18499999999997,130.29,128.962,129.475,NaN,7.56272177985543e+307,NaN,NaN,NaN,NaN,NaN,7.56272177985543e+307,NaN,NaN,NaN,NaN,NaN,7.56272177985543e+307,NaN,NaN,NaN,NaN
1309986000,129.475,130.11499999999998,129.06799999999998,129.70999999999998,8.154650307325071e+307,-1.1349663771569719e+308,NaN,NaN,NaN,NaN,8.154650307325071e+307,-1.1349663771569719e+308,NaN,NaN,NaN,NaN,8.154650307325071e+307,-1.1349663771569719e+308,NaN,NaN,NaN,NaN
1310072400,129.70999999999998,130.057,128.83499999999998,129.32999999999998,-6.377343744269992e+307,1.312663110304818e+308,NaN,-6.377343744269992e+307,NaN,NaN,-6.377343744269992e+307,1.312663110304818e+308,NaN,-6.377343744269992e+307,NaN,NaN,-6.377343744269992e+307,1.312663110304818e+308,NaN,-6.377343744269992e+307,NaN,NaN
1310331600,129.32999999999998,129.43499999999997,127.431,127.66,9.570721938493888e+307,NaN,9.570721938493888e+307,NaN,NaN,NaN,9.570721938493888e+307,NaN,9.570721938493888e+307,NaN,NaN,NaN,9.570721938493888e+307,NaN,9.570721938493888e+307,NaN,NaN,NaN
1310418000,127.66,127.85,125.114,126.08,-1.1069168109733699e+308,-9.266936629811259e+307,NaN,-1.1069168109733699e+308,NaN,NaN,-1.1069168109733699e+308,-9.266936629811259e+307,NaN,-1.1069168109733699e+308,NaN,NaN,-1.1069168109733699e+308,-9.266936629811259e+307,NaN,-1.1069168109733699e+308,NaN,NaN
1310504400,126.08,127.393,124.845,127.19,1.4035865847897523e+308,7.247207190673397e+307,1.4035865847897523e+308,NaN,NaN,NaN,1.4035865847897523e+308,7.247207190673397e+307,1.4035865847897523e+308,NaN,NaN,NaN,1.4035865847897523e+308,7.247207190673397e+307,1.4035865847897523e+308,NaN,NaN,NaN
1310590800,127.19,128.16799999999998,126.77,127.705,NaN,-1.0876159045826722e+308,NaN,NaN,NaN,NaN,NaN,-1.0876159045826722e+308,NaN,NaN,NaN,NaN,NaN,-1.0876159045826722e+308,NaN,NaN,NaN,NaN
1310677200,127.705,128.02999999999997,127.171,127.48,-9.309315705124532e+307,1.2578991808574287e+308,NaN,NaN,NaN,NaN,-9.309315705124532e+307,1.2578991808574287e+308,NaN,NaN,NaN,NaN,-9.309315705124532e+307,1.2578991808574287e+308,NaN,NaN,NaN,NaN
1310936400,127.48,127.675,126.652,126.91,7.280349743775184e+307,NaN,7.280349743775184e+307,NaN,NaN,NaN,7.280349743775184e+307,NaN,7.280349743775184e+307,NaN,NaN,NaN,7.280349743775184e+307,NaN,7.280349743775184e+307,NaN,NaN,NaN
1311022800,126.91,127.874,126.796,127.621,-1.0925897333864588e+308,-8.880322684615097e+307,NaN,-1.0925897333864588e+308,NaN,NaN,-1.0925897333864588e+308,-8.880322684615097e+307,NaN,-1.0925897333864588e+308,NaN,NaN,-1.0925897333864588e+308,-8.880322684615097e+307,NaN,-1.0925897333864588e+308,NaN,NaN
1311109200,127.621,127.85,126.72,127.222,1.2636517403332937e+308,6.944855779892538e+307,1.2636517403332937e+308,NaN,NaN,NaN,1.2636517403332937e+308,6.944855779892538e+307,1.2636517403332937e+308,NaN,NaN,NaN,1.2636517403332937e+308,6.944855779892538e+307,1.2636517403332937e+308,NaN,NaN,NaN
1311195600,127.222,128.237,127.008,127.838,NaN,-1.0422408801785867e+308,NaN,NaN,NaN,NaN,NaN,-1.0422408801785867e+308,NaN,NaN,NaN,NaN,NaN,-1.0422408801785867e+308,NaN,NaN,NaN,NaN
1311282000,127.838,128.422,127.477,127.892,-8.920933717029714e+307,1.205419986880226e+308,NaN,NaN,NaN,NaN,-8.920933717029714e+307,1.205419986880226e+308,NaN,NaN,NaN,NaN,-8.920933717029714e+307,1.205419986880226e+308,NaN,NaN,NaN,NaN
1311541200,127.892,128.053,127.108,127.385,6.976615635160036e+307,NaN,6.976615635160036e+307,NaN,NaN,NaN,6.976615635160036e+307,NaN,6.976615635160036e+307,NaN,NaN,NaN,6.976615635160036e+307,NaN,6.976615635160036e+307,NaN,NaN,NaN
1311627600,127.385,128.33999999999997,127.046,127.785,-1.0470072022675467e+308,-8.509838162613576e+307,NaN,-1.0470072022675467e+308,NaN,NaN,-1.0470072022675467e+308,-8.509838162613576e+307,NaN,-1.0470072022675467e+308,NaN,NaN,-1.0470072022675467e+308,-8.509838162613576e+307,NaN,-1.0470072022675467e+308,NaN,NaN
1311714000,127.785,128.125,127.187,127.33,1.2109325512203972e+308,6.655118383475562e+307,1.2109325512203972e+308,NaN,NaN,NaN,1.2109325512203972e+308,6.655118383475562e+307,1.2109325512203972e+308,NaN,NaN,NaN,1.2109325512203972e+308,6.655118383475562e+307,1.2109325512203972e+308,NaN,NaN,NaN
1311800400,127.33,127.41,126.714,127.16,NaN,-9.987588888121722e+307,NaN,NaN,NaN,NaN,NaN,-9.987588888121722e+307,NaN,NaN,NaN,NaN,NaN,-9.987588888121722e+307,NaN,NaN,NaN,NaN
1311886800,127.16,127.394,125.978,126.253,-8.548754914373483e+307,1.1551302098629896e+308,NaN,NaN,NaN,NaN,-8.548754914373483e+307,1.1551302098629896e+308,NaN,NaN,NaN,NaN,-8.548754914373483e+307,1.1551302098629896e+308,NaN,NaN,NaN,NaN
1312146000,126.253,128.52499999999998,124.185,125.805,6.685553226666865e+307,NaN,6.685553226666865e+307,NaN,NaN,NaN,6.685553226666865e+307,NaN,6.685553226666865e+307,NaN,NaN,NaN,6.685553226666865e+307,NaN,6.685553226666865e+307,NaN,NaN,NaN
1312232400,125.805,126.984,125.313,125.675,-1.0033263613070859e+308,-8.154810148885171e+307,NaN,-1.0033263613070859e+308,NaN,NaN,-1.0033263613070859e+308,-8.154810148885171e+307,NaN,-1.0033263613070859e+308,NaN,NaN,-1.0033263613070859e+308,-8.154810148885171e+307,NaN,-1.0033263613070859e+308,NaN,NaN
1312318800,125.675,126.63,125.275,126.56,1.160412791595872e+308,6.377468748351707e+307,1.160412791595872e+308,NaN,NaN,NaN,1.160412791595872e+308,6.377468748351707e+307,1.160412791595872e+308,NaN,NaN,NaN,1.160412791595872e+308,6.377468748351707e+307,1.160412791595872e+308,NaN,NaN,NaN
1312405200,126.56,130.84799999999998,126.395,128.17,NaN,-9.570909536866387e+307,NaN,NaN,NaN,NaN,NaN,-9.570909536866387e+307,NaN,NaN,NaN,NaN,NaN,-9.570909536866387e+307,NaN,NaN,NaN,NaN
1312491600,128.17,129.04199999999997,127.399,128.54,-8.1921033048946e+307,1.106938507956478e+308,NaN,NaN,NaN,NaN,-8.1921033048946e+307,1.106938507956478e+308,NaN,NaN,NaN,NaN,-8.1921033048946e+307,1.106938507956478e+308,NaN,NaN,NaN,NaN
1312750800,128.54,128.87199999999999,126.467,126.86,6.406633858591588e+307,-1.4036140968792958e+308,6.406633858591588e+307,NaN,NaN,NaN,6.406633858591588e+307,-1.4036140968792958e+308,6.406633858591588e+307,NaN,NaN,NaN,6.406633858591588e+307,-1.4036140968792958e+308,6.406633858591588e+307,NaN,NaN,NaN
1312837200,126.86,127.04,124.503,125.555,-9.614678725356847e+307,NaN,NaN,-9.614678725356847e+307,NaN,NaN,-9.614678725356847e+307,NaN,NaN,-9.614678725356847e+307,NaN,NaN,-9.614678725356847e+307,NaN,NaN,-9.614678725356847e+307,NaN,NaN
1312923600,125.555,126.229,123.303,123.99,1.1120007018906563e+308,9.309498179601025e+307,1.1120007018906563e+308,NaN,NaN,NaN,1.1120007018906563e+308,9.309498179601025e+307,1.1120007018906563e+308,NaN,NaN,NaN,1.1120007018906563e+308,9.309498179601025e+307,1.1120007018906563e+308,NaN,NaN,NaN
1313010000,123.99,124.851,123.38,124.745,-1.4100330322727957e+308,-7.280492447927699e+307,NaN,-1.4100330322727957e+308,NaN,NaN,-1.4100330322727957e+308,-7.280492447927699e+307,NaN,-1.4100330322727957e+308,NaN,NaN,-1.4100330322727957e+308,-7.280492447927699e+307,NaN,-1.4100330322727957e+308,NaN,NaN
1313096400,124.745,125.18900000000001,123.966,125.052,NaN,1.0926111495405499e+308,NaN,NaN,NaN,NaN,NaN,1.0926111495405499e+308,NaN,NaN,NaN,NaN,NaN,1.0926111495405499e+308,NaN,NaN,NaN,NaN
1313355600,125.052,126.015,124.973,125.86,9.352071895192527e+307,-1.2636765095211796e+308,NaN,NaN,NaN,NaN,9.352071895192527e+307,-1.2636765095211796e+308,NaN,NaN,NaN,NaN,9.352071895192527e+307,-1.2636765095211796e+308,NaN,NaN,NaN,NaN
1313442000,125.86,126.435,125.294,126.34,-7.313787219446462e+307,NaN,NaN,-7.313787219446462e+307,NaN,NaN,-7.313787219446462e+307,NaN,NaN,-7.313787219446462e+307,NaN,NaN,-7.313787219446462e+307,NaN,NaN,-7.313787219446462e+307,NaN,NaN
1313528400,126.34,126.979,125.25,126.705,1.0976078223402257e+308,8.921108578723249e+307,1.0976078223402257e+308,NaN,NaN,NaN,1.0976078223402257e+308,8.921108578723249e+307,1.0976078223402257e+308,NaN,NaN,NaN,1.0976078223402257e+308,8.921108578723249e+307,1.0976078223402257e+308,NaN,NaN,NaN
1313614800,126.705,126.79,125.655,126.466,-1.2694554895776881e+308,-6.97675238573613e+307,NaN,-1.2694554895776881e+308,NaN,NaN,-1.2694554895776881e+308,-6.97675238573613e+307,NaN,-1.2694554895776881e+308,NaN,NaN,-1.2694554895776881e+308,-6.97675238573613e+307,NaN,-1.2694554895776881e+308,NaN,NaN
1313701200,126.466,126.807,125.727,126.015,NaN,1.047027724945815e+308,NaN,NaN,NaN,NaN,NaN,1.047027724945815e+308,NaN,NaN,NaN,NaN,NaN,1.047027724945815e+308,NaN,NaN,NaN,NaN
1313960400,126.015,127.346,126.015,126.335,8.961906131079368e+307,-1.2109562870448496e+308,NaN,NaN,NaN,NaN,8.961906131079368e+307,-1.2109562870448496e+308,NaN,NaN,NaN,NaN,8.961906131079368e+307,-1.2109562870448496e+308,NaN,NaN,NaN,NaN
1314046800,126.335,126.974,126.16,126.405,-7.008658108911791e+307,NaN,NaN,-7.008658108911791e+307,NaN,NaN,-7.008658108911791e+307,NaN,NaN,-7.008658108911791e+307,NaN,NaN,-7.008658108911791e+307,NaN,NaN,-7.008658108911791e+307,NaN,NaN
