time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1178485200,1.35961,1.36271,1.35891,1.3600100000000002,-8.920022199770622e+307,NaN,-8.920022199770622e+307,NaN,NaN,NaN,-8.920022199770622e+307,NaN,-8.920022199770622e+307,NaN,NaN,NaN,-8.920022199770622e+307,NaN,-8.920022199770622e+307,NaN,NaN,NaN
1178571600,1.3600100000000002,1.3621100000000002,1.35161,1.3542100000000001,1.060040715587591e+308,-9.439652049758275e+307,NaN,NaN,NaN,NaN,1.060040715587591e+308,-9.439652049758275e+307,NaN,NaN,NaN,NaN,1.060040715587591e+308,-9.439652049758275e+307,NaN,NaN,NaN,NaN
1178658000,1.3542100000000001,1.35661,1.35191,1.35281,-1.3706965886297681e+308,7.652851202210298e+307,NaN,-1.3706965886297681e+308,NaN,NaN,-1.3706965886297681e+308,7.652851202210298e+307,NaN,-1.3706965886297681e+308,NaN,NaN,-1.3706965886297681e+308,7.652851202210298e+307,NaN,-1.3706965886297681e+308,NaN,NaN
1178744400,1.35281,1.3564100000000001,1.34641,1.34841,NaN,-1.161520188061897e+308,NaN,NaN,NaN,NaN,NaN,-1.161520188061897e+308,NaN,NaN,NaN,NaN,NaN,-1.161520188061897e+308,NaN,NaN,NaN,NaN
1178830800,1.34841,1.35321,1.3462100000000001,1.35321,9.331698471053063e+307,NaN,NaN,9.331698471053063e+307,NaN,NaN,9.331698471053063e+307,NaN,NaN,9.331698471053063e+307,NaN,NaN,9.331698471053063e+307,NaN,NaN,9.331698471053063e+307,NaN,NaN
1179090000,1.35321,1.35581,1.3524100000000001,1.35451,-7.565331803166533e+307,7.145326326348321e+307,NaN,NaN,NaN,NaN,-7.565331803166533e+307,7.145326326348321e+307,NaN,NaN,NaN,NaN,-7.565331803166533e+307,7.145326326348321e+307,NaN,NaN,NaN,NaN
1179176400,1.35451,1.36091,1.35271,1.35901,1.1482368318133109e+308,-5.79281088736527e+307,1.1482368318133109e+308,NaN,NaN,NaN,1.1482368318133109e+308,-5.79281088736527e+307,1.1482368318133109e+308,NaN,NaN,NaN,1.1482368318133109e+308,-5.79281088736527e+307,1.1482368318133109e+308,NaN,NaN,NaN
1179262800,1.35901,1.36091,1.35041,1.35141,NaN,8.79210455490915e+307,NaN,NaN,NaN,NaN,NaN,8.79210455490915e+307,NaN,NaN,NaN,NaN,NaN,8.79210455490915e+307,NaN,NaN,NaN,NaN
1179349200,1.35141,1.3544100000000001,1.34771,1.34941,-7.063611074146242e+307,-1.044839193802284e+308,-7.063611074146242e+307,NaN,NaN,NaN,-7.063611074146242e+307,-1.044839193802284e+308,-7.063611074146242e+307,NaN,NaN,NaN,-7.063611074146242e+307,-1.044839193802284e+308,-7.063611074146242e+307,NaN,NaN,NaN
1179435600,1.34941,1.3521100000000001,1.34651,1.35111,5.726563247859362e+307,1.3510401039809198e+308,NaN,5.726563247859362e+307,NaN,NaN,5.726563247859362e+307,1.3510401039809198e+308,NaN,5.726563247859362e+307,NaN,NaN,5.726563247859362e+307,1.3510401039809198e+308,NaN,5.726563247859362e+307,NaN,NaN
1179694800,1.35111,1.35301,1.34361,1.34681,-8.691556447198217e+307,NaN,-8.691556447198217e+307,NaN,NaN,NaN,-8.691556447198217e+307,NaN,-8.691556447198217e+307,NaN,NaN,NaN,-8.691556447198217e+307,NaN,-8.691556447198217e+307,NaN,NaN,NaN
1179781200,1.34681,1.34761,1.34381,1.34481,1.0328902226381074e+308,-9.197877179553892e+307,NaN,NaN,NaN,NaN,1.0328902226381074e+308,-9.197877179553892e+307,NaN,NaN,NaN,NaN,1.0328902226381074e+308,-9.197877179553892e+307,NaN,NaN,NaN,NaN
1179867600,1.34481,1.3501100000000001,1.34161,1.3459100000000002,-1.3355893634843213e+308,7.456841106037818e+307,NaN,-1.3355893634843213e+308,NaN,NaN,-1.3355893634843213e+308,7.456841106037818e+307,NaN,-1.3355893634843213e+308,NaN,NaN,-1.3355893634843213e+308,7.456841106037818e+307,NaN,-1.3355893634843213e+308,NaN,NaN
1179954000,1.3459100000000002,1.3462100000000001,1.34151,1.34281,NaN,-1.1317705329656976e+308,NaN,NaN,NaN,NaN,NaN,-1.1317705329656976e+308,NaN,NaN,NaN,NaN,NaN,-1.1317705329656976e+308,NaN,NaN,NaN,NaN
1180040400,1.34281,1.34731,1.34111,1.34461,9.092688582263465e+307,1.3449774213305861e+308,NaN,9.092688582263465e+307,NaN,NaN,9.092688582263465e+307,1.3449774213305861e+308,NaN,9.092688582263465e+307,NaN,NaN,9.092688582263465e+307,1.3449774213305861e+308,NaN,9.092688582263465e+307,NaN,NaN
1180299600,1.34461,1.3459100000000002,1.34441,1.34511,-7.371563314124558e+307,NaN,-7.371563314124558e+307,NaN,NaN,NaN,-7.371563314124558e+307,NaN,-7.371563314124558e+307,NaN,NaN,NaN,-7.371563314124558e+307,NaN,-7.371563314124558e+307,NaN,NaN,NaN
1180386000,1.34511,1.3520100000000002,1.3419100000000002,1.34481,1.1188273991867497e+308,-9.681780282093245e+307,NaN,NaN,NaN,NaN,1.1188273991867497e+308,-9.681780282093245e+307,NaN,NaN,NaN,NaN,1.1188273991867497e+308,-9.681780282093245e+307,NaN,NaN,NaN,NaN
1180472400,1.34481,1.34571,1.34071,1.34281,-1.3295960147760883e+308,7.849147773751955e+307,NaN,-1.3295960147760883e+308,NaN,NaN,-1.3295960147760883e+308,7.849147773751955e+307,NaN,-1.3295960147760883e+308,NaN,NaN,-1.3295960147760883e+308,7.849147773751955e+307,NaN,-1.3295960147760883e+308,NaN,NaN
1180558800,1.34281,1.34771,1.3423100000000001,1.34521,NaN,-1.191313323282809e+308,NaN,NaN,NaN,NaN,NaN,-1.191313323282809e+308,NaN,NaN,NaN,NaN,NaN,-1.191313323282809e+308,NaN,NaN,NaN,NaN
1180645200,1.34521,1.3463100000000001,1.33921,1.34461,9.571057680859634e+307,NaN,NaN,9.571057680859634e+307,NaN,NaN,9.571057680859634e+307,NaN,NaN,9.571057680859634e+307,NaN,NaN,9.571057680859634e+307,NaN,NaN,9.571057680859634e+307,NaN,NaN
1180904400,1.34461,1.3499100000000002,1.34321,1.34891,-7.759383491393244e+307,7.328604822603865e+307,NaN,NaN,NaN,NaN,-7.759383491393244e+307,7.328604822603865e+307,NaN,NaN,NaN,NaN,-7.759383491393244e+307,7.328604822603865e+307,NaN,NaN,NaN,NaN
